Andrena regularis
Habropoda pallida
Edmontosaurus annectens
Protoceratops andrewsi
Edmontosaurus annectens
Protoceratops andrewsi
Edmontosaurus annectens
Protoceratops andrewsi
Attalea rostrata
Cinnamomum triplinerve
Ocotea whitei
Ocotea oblonga
Nectandra lineata
Nectandra cissiflora
Souroubea sympetala
Ocotea puberula
Ocotea oblonga
Beilschmiedia tovarensis
Bactris major
Astrocaryum standleyanum
Enterolobium schomburgkii
Enterolobium cyclocarpum
Protium tenuifolium
Maripa panamensis
Pseudobombax septenatum
Ceiba pentandra
Handroanthus guayacan
Gustavia superba
Handroanthus guayacan
Cinnamomum triplinerve
Nectandra cissiflora
Garcinia recondita
Symphonia globulifera
Garcinia recondita
Prioria copaifera
Guarea grandifolia
Pouteria reticulata
Coccoloba manzinellensis
Licania platypus
Amphilophium crucigerum
Bignonia aequinoctialis
Callichlamys latifolia
Annona spraguei
Annona hayesii
Dioclea wilsonii
Gustavia superba
Gustavia superba
Mascagnia divaricata
Hiraea reclinata
Psidium salutare
Protium tenuifolium
Anacardium excelsum
Cordia alliodora
Tachigali panamensis
Pterocarpus rohrii
Amphilophium paniculatum
Amphilophium crucigerum
Tabebuia rosea
Cordia bicolor
Cordia bicolor
Combretum fruticosum
unidentified_bacteria unidentified_bacteria
unidentified_bacteria unidentified_bacteria
Enterobacter aerogenes
unidentified_bacteria unidentified_bacteria
unidentified_bacteria unidentified_bacteria
unidentified_bacteria unidentified_bacteria
unidentified_bacteria unidentified_bacteria
unidentified_bacteria unidentified_bacteria
unidentified_bacteria unidentified_bacteria
Enterobacter aeogenes
Klebsiella pneumonia
unidentified_bacteria unidentified_bacteria
unidentified_bacteria unidentified_bacteria
Synecococcus
Gloeocapsa alpicola
Anacystis nidulans
Listeria monocytogenes
unidentified_bacteria unidentified_bacteria
unidentified_bacteria unidentified_bacteria
unidentified_bacteria unidentified_bacteria
unidentified_bacteria unidentified_bacteria
unidentified_bacteria unidentified_bacteria
unknown_bacteroidetes unknown_bacteroidetes
unidentified_bacteria unidentified_bacteria
unidentified_bacteria unidentified_bacteria
unidentified_bacteria unidentified_bacteria
unknown_ciliate unknown_ciliate
unknown_acantharia unknown_acantharia
Bodo saltans
Bodo saltans
Heterosigma akashiwo
Isochrysis galbana
Amphidinium carterae
Heterocapsa rotundata
Teleaulax
Rhodomonas salina
Skeletonema costatum
Skeletonema costatum
Skeletonema costatum
Skeletonema costatum
Skeletonema costatum
Skeletonema costatum
Skeletonema costatum
Skeletonema costatum
Skeletonema costatum
Skeletonema costatum
Skeletonema costatum
Skeletonema costatum
Skeletonema costatum
Skeletonema costatum
Skeletonema costatum
Chroomonas coerulea
Chroomonas coerulea
Chroomonas
Chroomonas
Rhynchobodo
Bodo saltans
Euglena gracilis
Ploeotia
Isochrysis galbana
Eutintinnus tubulosus
Favella taraikaensis
Favella azorica
Oxyrrhis marina
unknown_chlorophyte unknown_chlorophyte
Fibrocapsa japonica
Fibrocapsa japonica
Blepharisma japonicum
Blepharisma japonicum
Teleaulax
Hemiselmis tepida
Hemiselmis rufescens
Teleaulax amphioxeia
Guillardia theta
Isochrysis galbana
Phaeocystis globosa
Isochrysis galbana
Phaeocystis globosa
Isochrysis galbana
Phaeocystis globosa
Isochrysis galbana
Phaeocystis globosa
unknown_cryptomonad unknown_cryptomonad
unknown_cryptomonad unknown_cryptomonad
unknown_cryptomonad unknown_cryptomonad
unknown_dinoflagellate
unknown_dinoflagellate unknown_dinoflagellate
unknown_dinoflagellate unknown_dinoflagellate
unknown_diatom unknown_diatom
unknown_diatom unknown_diatom
unknown_ciliate unknown_ciliate
unknown_ciliate unknown_ciliate
unknown_ciliate unknown_ciliate
unknown_acantharia unknown_acantharia
unknown_acantharia unknown_acantharia
unknown_acantharia unknown_acantharia
Tetrahymena thermophila
Chlamydomomas
Emiliania huxleyi
Emiliania huxleyi
Emiliania huxleyi
Emiliania huxleyi
Emiliania huxleyi
Isochrysis galbana
Emiliania huxleyi
Mantoniella squamata
Dunaliella tertiolecta
Rhodomonas salina
Nitzschia thermalis
Ditylum brightwelli
Corethron criophilum
Protodinium simplex
Heterocapsa niei
Prorocentrum micans
Isochrysis galbana
unknown_prasinophyte unknown_prasinophyte
Rhodomonas salina
Isochrysis galbana
Rhodomonas salina
Strobilidium
unknown_ciliate unknown_ciliate
Strobilidium
Rhodomonas baltica
Neoceratium
Neoceratium lineatum
Neoceratium tripos
Heterocapsa rotundata
Thalassiosira pseudonana
Dunaliella viridis
Dunaliella salina
Blepharisma seshachari
Paramecium caudatum
unknown_cryptomonad unknown_cryptomonad
Tetrahymena thermophila
Paramecium bursaria
Chlorogonium elongatum
unknown_chlorophyte unknown_chlorophyte
unknown_chlorophyte unknown_chlorophyte
Isochrysis galbana
Dunaliella parva
Dunaliella tertiolecta
Dunaliella primolecta
Dunaliella salina
Rhodomonas lens
Chroomonas salina
Chaetoceros galvestonensis
Phaeodactylum tricornutum
Cylindrotheca closterium
Peridinium trochoideum
Prasinocladus marinus
Prasinocladus lubricus
Heterocapsa triquetra
Heterocapsa triquetra
Rhodomonas salina
Rhodomonas salina
Rhodomonas salina
Rhodomonas salina
Myrionecta rubra
Myrionecta rubra
Monochrysis lutheri
Drepanomonas
unidentified_bacteria unidentified_bacteria
Chrysochromulina
unknown_cryptomonad unknown_cryptomonad
unknown_cryptomonad unknown_cryptomonad
Chrysochromulina simplex
Chrysochromulina
Pyramimonas
unknown_pelagophyceae unknown_pelagophyceae
Micromonas pulsilla
unknown_dictyochophyte unknown_dictyochophyte
unknown_diatom unknown_diatom
unknown_bolidomonad unknown_bolidomonad
Chrysochromulina
Vanella
Chrysochromulina polylepis
Gymnodinium galatheanum
Heterocapsa triquetra
Heterocapsa triquetra
Rhodomonas baltica
Rhodomonas baltica
Rhodomonas baltica
Ditylum brightwellii
Skeletonema costatum
Skeletonema costatum
Gymnodinium galatheanum
Heterocapsa triquetra
Gymnodinium galatheanum
Prorocentrum micans
Ditylum brightwellii
Chaetoceros curvisetus
Chaetoceros laciniosus
Skeletonema costatum
Thalassionema nitzschioides
Thalassiosira nordenskioeldii
Chaetoceros socialis
Chaetoceros curvisetus
Skeletonema costatum
Prorocentrum micans
Heterocapsa triquetra
Scrippsiella trochoidea
Prorocentrum micans
Heterocapsa triquetra
Gyrodinium aureolum
Gymnodinium galatheanum
Amphidinium carterae
Scrippsiella trochoidea
Prorocentrum micans
Heterocapsa triquetra
Gyrodinium aureolum
Gymnodinium galatheanum
Amphidinium carterae
Alexandrium tamarense
Dunaliella tertiolecta
Dunaliella tertiolecta
Thalassiosira angulata
Thalassiosira auguste-lineata
Ditylum brightwelli
Skeletonema costatum
Thalassiosira nordenskioeldii
Thalassiosira angulata
Thalassiosira anguste-lineata
Ditylum brightwellii
Skeletonema costatum
Thalassiosira nordenskioeldii
Heterosigma akashiwo
Chattonella marina
Gymnodinium mikimotoi
Chattonella antiqua
Myrionecta rubra
Myrionecta rubra
Cafeteria roenbergensis
Pseudobodo tremulans
Percolomonas cosmopolitus
Bodo saltans
Procryptobia sorokini
Rhyncomonas nasuta
