Abagrotis alternata
Abarenicola affinis
Abax ovalis
Abax parallelepipedus
Abax parallelus
Ablabesmyia monilis
Ablennes hians
Abra alba
Abra longicallus
Abralia redfieldi
Abralia steindachneri
Abralia trigonura
Abralia veranyi
Abraliopsis gilchristi
Abraliopsis lineata
Abraliopsis morisii
Abramis brama
Abraxas sylvata
Abrocoma boliviensis
Abronia maritima
Abrothrix olivaceus
Abudefduf saxatilis
Abudefduf troschelii
Abudefduf vaigiensis
Abyssorchomene nodimanus
Abyssorchomene plebs
Abyssorchomene rossi
Acacia robusta
Acacia senegal
Acacia seyal
Acacia tortilis
Acacia xanthophloea
Acalypta carinata
Acalypta nigrina
Acanalonia conica
Acanalonia servillei
Acanthacris ruficornis
Acantharchus pomotis
Acantharctus posteli
Acanthaster planci
Acanthephyra carinata
Acanthephyra eximia
Acanthephyra pelagica
Acanthephyra purpurea
Acanthephyra quadrispinosa
Acanthina monodon
Acanthinula aculeata
Acanthistius sebastoides
Acanthocardia tuberculata
Acanthocarpus alexandri
Acanthocercus atricollis
Acanthocercus cyanogaster
Acanthocereus tetragonus
Acanthochitona crinita
Acanthocinus obsoletus
Acanthoclinus fuscus
Acanthocoris scaber
Acanthocybium solandri
Acanthocyclops vernalis
Acanthocyclus gayi
Acanthocyclus hassleri
Acanthodactylus cantoris
Acanthodactylus erythrurus
Acanthodactylus gongrorhynchatus
Acanthodactylus maculatus
Acanthodoris pilosa
Acanthogobius flavimanus
Acantholeberis curvirostris
Acanthonyx lunulatus
Acanthonyx petiverii
Acanthonyx quadridentatus
Acanthopagrus berda
Acanthoparyphium spinulosum
Acanthopleura echinata
Acanthosaura lepidogaster
Acanthostracion polygonius
Acanthurus bahianus
Acanthurus chirurgus
Acanthurus coeruleus
Acanthurus lineatus
Acanthurus nigrofuscus
Acanthurus nigroris
Acanthurus triostegus
Acapoeta tanganicae
Acarnus erithacus
Acartia clausi
Acartia hudsonica
Acartia tonsa
Accipiter cooperii
Accipiter novaehollandiae
Acentria ephemerella
Acentrogobius pflaumii
Acer negundo
Acer platanoides
Aceria fraxinivora
Acestrorhynchus falcatus
Acetes americanus
Acetes indicus
Acetes japonicus
Acetes marinus
Acetes sibogae
Achalinus werneri
Achelous ordwayi
Achillea millefolium
Achipteria coleoptrata
Achipteria nitens
Achirus achirus
Achnanthes haukiana
Achromadora ruricola
Achyranthes aspera
Acinonyx jubatus
Acipenser brevirostrum
Acipenser fulvescens
Acipenser oxyrinchus
Acipenser transmontanus
Acleris chalybeana
Acleris forsskaleana
Acleris hyemana
Acleris negundana
Acmaea mitra
Acodontaster capitatus
Acodontaster conspicuus
Acodontaster hodgsoni
Acontias aurantiacus
Acontias orientalis
Acontias percivali
Acontias plumbeus
Acraea andromacha
Acris blanchardi
Acris crepitans
Acris gryllus
Acrobasis nuxvorella
Acrobates pygmaeus
Acrobeles ciliatus
Acrocheilus alutaceus
Acrolophus heppneri
Acrolophus propinqua
Acroloxus lacustris
Acronicta americana
Acronicta spinigera
Acroperus harpae
Acropora acuminata
Acropora nasuta
Acropora valida
Acrosorium uncinatum
Acrotona parvula
Acrotona sylvicola
Acrotrichis fascicularis
Acrotrichis sitkaensis
Actaea acantha
Acteocina canaliculata
Acteocina inculta
Actinauge longicornis
Actinia equina
Actinia fragacea
Actinophrys sol
Actinopteryx fucicola
Actinoptychus senarius
Actinothoe sphyrodeta
Actitis macularius
Aculepeira ceropegia
Acupalpus flavicollis
Acupalpus meridianus
Adalia bipunctata
Adamussium colbecki
Adela septentrionella
Adelieledone polymorpha
Adelophryne maranguapensis
Adelotus brevis
Adelphicos nigrilatum
Adelphicos quadrivirgatum
Adelphocoris lineolatus
Adelphocoris quadripunctatus
Adelphocoris seticornis
Adenomus kelaartii
Adephagus cristatus
Adicella reducta
Admete couthouyi
Adolfus jacksoni
Adoristes ovatus
Adoxophyes negundana
Adrastus rachifer
Aedes excrucians
Aedes implicatus
Aedes stimulans
Aedes taeniorhynchus
Aedes trivittatus
Aedes vexans
Aedes vigilax
Aega antarctica
Aega antillensis
Aegathoa medialis
Aeginina longicornis
Aegires albus
Aegopinella nitens
Aegopinella nitidula
Aegopinella pura
Aegotheles bennettii
Aenetus virescens
Aeolidia papillosa
Aeolothrips intermedius
Aepyceros melampus
Aequipecten opercularis
Aequorea forskalea
Aeromonas hydrophila
Aeronautes saxatalis
Aeshna canadensis
Aeshna cyanea
Aeshna eremita
Aeshna juncea
Aeshna mixta
Aeshna umbrosa
Aethes atomosana
Aethomys chrysophilus
Aethotaxis mitopteryx
Aetideus armatus
Aetobatus narinari
Afilia oslari
Aforia circinata
Afrixalus stuhlmanni
Afrocucumis africana
Afroedura africana
Afroedura pondolia
Afrogecko porphyreus
Afrotyphlops bibronii
Afrotyphlops blanfordii
Afrotyphlops fornasinii
Afrotyphlops mucruso
Afurcagobius suppositus
Afurcagobius tamarensis
Agabus bipustulatus
Agabus nebulosus
Agabus sturmii
Agalenatea redii
Agallia brachyptera
Agalychnis callidryas
Agalychnis dacnicolor
Agalychnis moreletii
Agama aculeata
Agama agama
Agama anchietae
Agama atra
Agama hispida
Agama impalearis
Agama mossambica
Agapetus fuscipes
Agapornis canus
Agapostemon sericeus
Agaricia tenuifolia
Agarum fimbriatum
Agasicles hygrophila
Agelaius phoeniceus
Agkistrodon contortrix
Aglais io
Aglantha digitale
Aglaodiaptomus leptopus
Aglaophamus circinata
Aglaophamus malmgreni
Aglenchus agricola
Agononida incerta
Agonopsis chiloensis
Agonopterix robiniella
Agonum muelleri
Agonum thoreyi
Agonum viduum
Agonus cataphractus
Agosia chrysogaster
Agraulis vanillae
Agraylea multipunctata
Agrilus planipennis
Agriotes acuminatus
Agriotes lineatus
Agriotes obscurus
