Abagrotis alternata
Abarenicola affinis
Abax ovalis
Abax parallelepipedus
Abax parallelus
Abedus indentatus
Ablabesmyia monilis
Ablennes hians
Abra alba
Abra longicallus
Abraeus granulum
Abraeus parvulus
Abraeus perpusillus
Abralia redfieldi
Abralia steindachneri
Abralia trigonura
Abralia veranyi
Abraliopsis gilchristi
Abraliopsis lineata
Abraliopsis morisii
Abramis brama
Abraxas sylvata
Abrocoma boliviensis
Abronia maritima
Abrothrix olivaceus
Abudefduf saxatilis
Abudefduf troschelii
Abudefduf vaigiensis
Abyssorchomene nodimanus
Abyssorchomene plebs
Abyssorchomene rossi
Acacia robusta
Acacia senegal
Acacia seyal
Acacia tortilis
Acacia xanthophloea
Acalypta carinata
Acalypta nigrina
Acanalonia conica
Acanalonia servillei
Acanthacris ruficornis
Acanthamoeba castellanii
Acanthamoeba polyphaga
Acantharchus pomotis
Acantharctus posteli
Acanthaster planci
Acanthepeira stellata
Acanthephyra carinata
Acanthephyra eximia
Acanthephyra pelagica
Acanthephyra purpurea
Acanthephyra quadrispinosa
Acanthina monodon
Acanthina spirata
Acanthinula aculeata
Acanthistius sebastoides
Acanthocardia tuberculata
Acanthocarpus alexandri
Acanthocercus atricollis
Acanthocercus cyanogaster
Acanthocereus tetragonus
Acanthochitona crinita
Acanthocinus obsoletus
Acanthoclinus fuscus
Acanthoclinus littoreus
Acanthocoris scaber
Acanthocybium solandri
Acanthocyclops vernalis
Acanthocyclus gayi
Acanthocyclus hassleri
Acanthocystis costata
Acanthocystis myriospina
Acanthocystis nichollsi
Acanthocystis penardi
Acanthodactylus cantoris
Acanthodactylus erythrurus
Acanthodactylus gongrorhynchatus
Acanthodactylus maculatus
Acanthodoris pilosa
Acanthogobius flavimanus
Acanthogobius lactipes
Acantholeberis curvirostris
Acanthonyx lunulatus
Acanthonyx petiverii
Acanthonyx quadridentatus
Acanthopagrus australis
Acanthopagrus berda
Acanthopagrus schlegelii
Acanthoparyphium spinulosum
Acanthophis antarcticus
Acanthophis praelongus
Acanthopleura echinata
Acanthosaura lepidogaster
Acanthostracion polygonius
Acanthurus bahianus
Acanthurus chirurgus
Acanthurus coeruleus
Acanthurus lineatus
Acanthurus nigrofuscus
Acanthurus nigroris
Acanthurus triostegus
Acapoeta tanganicae
Acarnus erithacus
Acartia clausi
Acartia hudsonica
Acartia tonsa
Acavomonas peruviana
Accipiter badius
Accipiter cooperii
Accipiter gentilis
Accipiter minullus
Accipiter nisus
Accipiter novaehollandiae
Accipiter striatus
Accipiter tachiro
Accipiter trivirgatus
Acentria ephemerella
Acentrogobius pflaumii
Acer negundo
Acer platanoides
Aceria fraxinivora
Aceria genistae
Acestrorhynchus falcatus
Acetes americanus
Acetes indicus
Acetes japonicus
Acetes marinus
Acetes sibogae
Achalinus werneri
Achelous ordwayi
Achillea millefolium
Achipteria coleoptrata
Achipteria nitens
Achirus achirus
Achnanthes haukiana
Achromadora ruricola
Achyranthes aspera
Acinonyx jubatus
Acipenser baerii
Acipenser brevirostrum
Acipenser fulvescens
Acipenser oxyrinchus
Acipenser stellatus
Acipenser sturio
Acipenser transmontanus
Acleris chalybeana
Acleris forsskaleana
Acleris hyemana
Acleris negundana
Acmaea mitra
Acodontaster capitatus
Acodontaster conspicuus
Acodontaster hodgsoni
Acontias aurantiacus
Acontias orientalis
Acontias percivali
Acontias plumbeus
Acraea andromacha
Acrantophis dumerili
Acrantophis madagascariensis
Acridotheres javanicus
Acridotheres tristis
Acris blanchardi
Acris crepitans
Acris gryllus
Acrispumella msimbaziensis
Acritus nigricornis
Acrobasis nuxvorella
Acrobates pygmaeus
Acrobeles ciliatus
Acrocheilus alutaceus
Acrochordus arafurae
Acrolophus heppneri
Acrolophus propinqua
Acroloxus lacustris
Acronicta americana
Acronicta spinigera
Acroperla trivacuata
Acroperus harpae
Acropoma japonicum
Acropora acuminata
Acropora nasuta
Acropora valida
Acrosorium uncinatum
Acrotona parvula
Acrotona sylvicola
Acrotrichis fascicularis
Acrotrichis sitkaensis
Actaea acantha
Acteocina canaliculata
Acteocina inculta
Actinauge longicornis
Actinia equina
Actinia fragacea
Actinophrys sol
Actinopteryx fucicola
Actinoptychus senarius
Actinosphaerium nucleofilum
Actinothoe sphyrodeta
Actitis macularius
Aculepeira ceropegia
Acupalpus flavicollis
Acupalpus meridianus
Adalia bipunctata
Adalia decempunctata
Adamussium colbecki
Adela septentrionella
Adelieledone polymorpha
Adelophryne maranguapensis
Adelotus brevis
Adelphicos nigrilatum
Adelphicos quadrivirgatum
Adelphocoris lineolatus
Adelphocoris quadripunctatus
Adelphocoris seticornis
Adenomus kelaartii
Adephagus cristatus
Adicella reducta
Admete couthouyi
Adolfus jacksoni
Adoristes ovatus
Adoxophyes negundana
Adrastus rachifer
Aeatus costulatus
Aeatus vestitus
Aechmophorus clarkii
Aechmophorus occidentalis
Aedes excrucians
Aedes implicatus
Aedes stimulans
Aedes taeniorhynchus
Aedes trivittatus
Aedes vexans
Aedes vigilax
Aega antarctica
Aega antillensis
Aegathoa medialis
Aeginina longicornis
Aegires albopunctatus
Aegires albus
Aegolius acadicus
Aegopinella nitens
Aegopinella nitidula
Aegopinella pura
Aegotheles bennettii
Aeletes atomarius
Aenetus virescens
Aeolidia papillosa
Aeolothrips intermedius
Aepyceros melampus
Aequipecten opercularis
Aequorea forskalea
Aeromonas hydrophila
Aeronautes saxatalis
Aeshna canadensis
Aeshna cyanea
Aeshna eremita
Aeshna grandis
Aeshna interrupta
Aeshna juncea
Aeshna mixta
Aeshna umbrosa
Aethes atomosana
Aethomys chrysophilus
Aethotaxis mitopteryx
Aetideus armatus
Aetobatus narinari
Afilia oslari
Aforia circinata
Afrixalus stuhlmanni
Afrocucumis africana
